crimeCategory,latitude,longitude
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.924355,77.618255
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.921141,77.620622
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.895598,77.63295
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.933031,77.613222
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.962364,77.573667
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.957482,77.572271
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.950751,77.567774
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.964818,77.538954
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.972213,77.537824
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.988377,77.550127
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.922472,77.657974
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.901454,77.675631
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.924147,77.672252
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.920472,77.665621
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.920749,77.664896
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.927753,77.679844
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.922814,77.670712
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.904377,77.676001
MOTOR VEHICLE ACCIDENTS NON-FATAL,13.014672,77.592812
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.972442,77.580643
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.835416,77.589161
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.832767,77.589148
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.831772,77.569744
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.883777,77.52188
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.875501,77.523293
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.883735,77.548102
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.851402,77.551871
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.878851,77.555083
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.896417,77.540488
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.863977,77.558831
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.850528,77.58078
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.983867,77.584514
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.992321,77.574867
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.997111,77.584442
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.993206,77.571472
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.989711,77.572713
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.984769,77.582168
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.836053,77.654759
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.834529,77.679553
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.836286,77.6794
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.926607,77.557922
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.939123,77.54785
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.932001,77.544692
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.916169,77.554473
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.934172,77.538382
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.916168,77.55515
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.920586,77.562067
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.929552,77.537153
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.92942,77.56399
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.935092,77.539324
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.929641,77.544289
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.922219,77.565492
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.932662,77.540696
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.932097,77.541481
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.921711,77.544541
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.926499,77.569378
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.916642,77.56487
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.935033,77.552146
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.933332,77.539918
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.926926,77.573542
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.838138,77.645277
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.974047,77.612782
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.968889,77.613126
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.9649,77.596926
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.967517,77.599641
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.955185,77.605396
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.961555,77.613429
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.938272,77.632484
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.956142,77.605653
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.978384,77.572623
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.97308,77.581103
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.972467,77.571659
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.977652,77.573662
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.972421,77.572067
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.962199,77.594471
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.967277,77.58822
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.962199,77.594471
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.963828,77.584033
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.967567,77.588475
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.976655,77.546816
MOTOR VEHICLE ACCIDENTS NON-FATAL,12.969246,77.53657
