OBJECTID,WARD_NAME,WARDNO,LocationName,KGISFVLID,ZONE,WKT,longitude,latitude
93,Dharmaraya Swamy Temple Ward,119,Kumbaragundi,93,South,POINT (77.582806000285 12.9621110002995),77.582806000285,12.9621110002995
94,Herohalli,72,Mallathahalli lake inlet Muddaiahna palya road,94,RR Nagar,POINT (77.4919100002234 12.9624099995629),77.4919100002234,12.9624099995629
95,Dharmaraya Swamy Temple Ward,119,Kumbargundi lead off drains,95,South,POINT (77.5839720004376 12.9624170000544),77.5839720004376,12.9624170000544
96,Dharmaraya Swamy Temple Ward,119,Osaman Khan  road near KR Market,96,South,POINT (77.5798060002524 12.9630000001948),77.5798060002524,12.9630000001948
97,Shantala Nagar,111,Palm grove road,97,East,POINT (77.6146390004251 12.9637220001151),77.6146390004251,12.9637220001151
98,Chalavadipalya,138,Cheluvadipalya Near by  Good Shed Road,98,West,POINT (77.5665249996156 12.9653170002783),77.5665249996156,12.9653170002783
99,Chalavadipalya,138,"Siddartha Nagar, Cheluvadipalya",99,West,POINT (77.5665249996156 12.9653170002783),77.5665249996156,12.9653170002783
100,Kottegepalya,73,Bande Maramma Temple behind Nagarabhavi 10th cross Bus Stop,100,RR Nagar,POINT (77.517394000081 12.9657029995558),77.517394000081,12.9657029995558
101,Rayapuram,137,Rayapuram near Govt. Maternity Hospital,101,West,POINT (77.5526190001116 12.9658829998577),77.5526190001116,12.9658829998577
102,Kottegepalya,73,Malagala main road to Vrishabhavathi Valley,102,RR Nagar,POINT (77.5174889995426 12.9659500000668),77.5174889995426,12.9659500000668
103,Vijnana Nagar,81,Talakaveri layout,103,Mahadevapura,POINT (77.6827779996137 12.9663889997484),77.6827779996137,12.9663889997484
104,Hosahalli,124,Vrishabhavthi main valley near Cholurapalya,104,South,POINT (77.5496969995646 12.9684050002546),77.5496969995646,12.9684050002546
105,Doddanekkundi,85,Doddenakundi near Gururaja layout,105,Mahadevapura,POINT (77.6921780002252 12.969065999681),77.6921780002252,12.969065999681
106,Hagadur,84,Nellurahalli,106,Mahadevapura,POINT (77.7366859995484 12.9692999997563),77.7366859995484,12.9692999997563
107,Shantala Nagar,111,Magrath road and brigade road junction,107,East,POINT (77.609667000206 12.9706109999042),77.609667000206,12.9706109999042
108,Jogupalya,89,Cambridge layout near Jogupalya,108,East,POINT (77.6336109997223 12.9708330001648),77.6336109997223,12.9708330001648
109,Mudalapalya,127,"Kalyannagar, Moodalapalya",109,West,POINT (77.5186560004364 12.9711689997559),77.5186560004364,12.9711689997559
110,Jogupalya,89,Jogupalya in Ulsoor,110,East,POINT (77.6333329999603 12.9716670001861),77.6333329999603,12.9716670001861
111,Kempapura,122,"Kempapura Agrahara Secondary Drain, Magadi road",111,South,POINT (77.5541089999492 12.9722480000324),77.5541089999492,12.9722480000324
112,Cottonpete,120,K P Agrahara 7th Cross  Road,112,West,POINT (77.5628830003884 12.972618999646),77.5628830003884,12.972618999646
113,Vijayanagar,123,"Manuvana, Pipeline road",113,South,POINT (77.5466510000851 12.9737299998207),77.5466510000851,12.9737299998207
114,Binnypete,121,Gopalpura area,114,West,POINT (77.5604169997079 12.9752170001849),77.5604169997079,12.9752170001849
115,Binnypete,121,Gopalpura,115,West,POINT (77.5604169997079 12.9752170001849),77.5604169997079,12.9752170001849
116,Okalipuram,96,Netaji Nagara in  KP Agrahara,116,West,POINT (77.5627040001008 12.9756190003332),77.5627040001008,12.9756190003332
117,Subhash Nagar,95,Binnymill Road  near Belimath,117,West,POINT (77.5673469998796 12.9765969995814),77.5673469998796,12.9765969995814
118,Halsoor,90,MV garden & Murphy market,118,East,POINT (77.6272219997728 12.9783330001697),77.6272219997728,12.9783330001697
119,Garudachar Palya,82,Pattandur agrahara,119,Mahadevapura,POINT (77.7337530001081 12.9788889998589),77.7337530001081,12.9788889998589
120,Subhash Nagar,95,Nagamma nagara Near Binny mill road,120,West,POINT (77.5697720002867 12.9799999996435),77.5697720002867,12.9799999996435
121,Okalipuram,96,"Gandi Statue, Oklipuram.",121,West,POINT (77.5655249998615 12.9834499997698),77.5655249998615,12.9834499997698
122,Dr. Rajkumar,106,"Rajajinagar  Industrial  Area ,1st Cross Road",122,West,POINT (77.5460639998798 12.9841170002625),77.5460639998798,12.9841170002625
123,Shivaji Nagar,92,Broadway road junction,123,East,POINT (77.6041670001918 12.9863889998184),77.6041670001918,12.9863889998184
124,Bharathi Nagar,91,Armstrong road junction in Shivajinagar,124,East,POINT (77.6102780001299 12.9863890001152),77.6102780001299,12.9863890001152
125,Herohalli,72,Herohalli lake inlet Handrahalli main road,125,RR Nagar,POINT (77.4895020004309 12.9870139997285),77.4895020004309,12.9870139997285
126,Sri Ramamandir,108,"Sri Rammandir, Gubbanna Industrial Estate",126,West,POINT (77.5592970002844 12.987563999594),77.5592970002844,12.987563999594
127,Vijnana Nagar,81,Shivaganga layout,127,Mahadevapura,POINT (77.6902780000745 12.9888890003729),77.6902780000745,12.9888890003729
128,A Narayanapura,56,Pai Layout,128,Mahadevapura,POINT (77.6683329996398 12.990277999831),77.6683329996398,12.990277999831
129,Basaveshwaranagar,100,Netaji ground & Saneguruvanalli,129,West,POINT (77.5440499997635 12.990871999651),77.5440499997635,12.990871999651
130,Vrisabhavathi Nagar,102,Near summanahalli bridge (up stream),130,West,POINT (77.5214369999444 12.9912430000379),77.5214369999444,12.9912430000379
131,Subhash Nagar,95,Near Mantri Mall bridge,131,West,POINT (77.5705640000386 12.9913279999354),77.5705640000386,12.9913279999354
132,Garudachar Palya,82,Hoodi,132,Mahadevapura,POINT (77.7181370002738 12.9920149996462),77.7181370002738,12.9920149996462
133,Prakash Nagar,98,Prakashnagar Near Mudalayar Choultry,133,West,POINT (77.557166999634 12.9934829997549),77.557166999634,12.9934829997549
134,Benniganahalli,50,Railway parallel road Sadanadanagar,134,East,POINT (77.6588889998819 12.9947220001824),77.6588889998819,12.9947220001824
135,Garudachar Palya,82,Maheshwari nagar,135,Mahadevapura,POINT (77.6928709998418 12.9949200004422),77.6928709998418,12.9949200004422
136,Dattatreya Temple,77,"Link Road, Malleshwaram",136,West,POINT (77.5733829999703 12.9960140000966),77.5733829999703,12.9960140000966
137,Herohalli,72,Syndicate Layout beside park,137,RR Nagar,POINT (77.4881040000855 12.9964130000207),77.4881040000855,12.9964130000207
138,Dattatreya Temple,77,"Guttahalli Circle, Malleshwaram",138,West,POINT (77.5780420000429 12.9974140000488),77.5780420000429,12.9974140000488
139,Dattatreya Temple,77,Near by 2nd Cross Ring Road,139,West,POINT (77.5731080003203 12.9976689998968),77.5731080003203,12.9976689998968
140,Kottegepalya,73,Pillappanakatte valley (KTG Roads to DWCC),140,Dasarahalli,POINT (77.5167400001607 12.998219999936),77.5167400001607,12.998219999936
141,Shankar Matt,75,1st main road bridge down stream,141,West,POINT (77.5278780003759 13.0010000003161),77.5278780003759,13.0010000003161
142,Rajagopal Nagar,70,Lavakushanagara to Vrishabhavathi Valley,142,Dasarahalli,POINT (77.5164540000044 13.0015319999151),77.5164540000044,13.0015319999151
143,Shankar Matt,75,Jai Maruthi nagar and Nandini layout bridge ( up and down stream),143,West,POINT (77.5325529996695 13.0017559998102),77.5325529996695,13.0017559998102
144,Kadu Malleshwar,65,Munikrishnappa layout area of Kaveripura,144,West,POINT (77.5636110003156 13.0033059997124),77.5636110003156,13.0033059997124
145,Shankar Matt,75,Sandeep bar,145,West,POINT (77.5290469997468 13.0035669996389),77.5290469997468,13.0035669996389
146,Laggere,69,Kemegowda bridge,146,West,POINT (77.5294920002743 13.0041169998666),77.5294920002743,13.0041169998666
147,Laggere,69,17th and 19th main in Kamalanagar,147,West,POINT (77.5293170001005 13.0041750002618),77.5293170001005,13.0041750002618
148,Laggere,69,Laggere 40-vent Bridge,148,West,POINT (77.5290939999229 13.0044060003846),77.5290939999229,13.0044060003846
149,Nandini Layout,43,Nandini Layout Junction,149,West,POINT (77.5300419997567 13.0058639995654),77.5300419997567,13.0058639995654
150,Vijnanapura,51,RR layout & Ambedkar Nagar,150,Mahadevapura,POINT (77.6722220004205 13.0066670000632),77.6722220004205,13.0066670000632
151,Devasandra,55,Devasandra (Nethravathi Badavane),151,Mahadevapura,POINT (77.6963890001064 13.0066669998917),77.6963890001064,13.0066669998917
152,Kammanahalli,28,Kalyananagar,152,East,POINT (77.6369440003274 13.0088889996928),77.6369440003274,13.0088889996928
153,Nandini Layout,43,Near ward office ( circular road),153,West,POINT (77.5355280001312 13.0095110001703),77.5355280001312,13.0095110001703
154,Nandini Layout,43,Back of Presidency school,154,West,POINT (77.5355280001312 13.0095110001703),77.5355280001312,13.0095110001703
155,Nandini Layout,43,3rd circular road Nandini layout,155,West,POINT (77.5355280001312 13.0095110001703),77.5355280001312,13.0095110001703
156,Vijnanapura,51,ITI Layout,156,Mahadevapura,POINT (77.6802779998802 13.0105559999868),77.6802779998802,13.0105559999868
157,K R Puram,52,Ambedkar Nagar near Ramamurthy Nagar,157,Mahadevapura,POINT (77.6813890003321 13.0108329998322),77.6813890003321,13.0108329998322
158,Nandini Layout,43,Down stream of Aggere bridge (Sakamma badavane),158,West,POINT (77.5280640003205 13.0109529999659),77.5280640003205,13.0109529999659
159,Vijnanapura,51,Koudenahalli (Ramamurthy Nagar main road),159,Mahadevapura,POINT (77.6791670000031 13.0113890001174),77.6791670000031,13.0113890001174
160,Rajagopal Nagar,70,Government School & Durgalamma Temple,160,Dasarahalli,POINT (77.5117799998828 13.0126399999882),77.5117799998828,13.0126399999882
161,Rammurthynagar,26,NRI layout,161,Mahadevapura,POINT (77.6788889999928 13.0127779998621),77.6788889999928,13.0127779998621
162,Malleshwaram,45,Near Yashavanthpur TTMC,162,West,POINT (77.5613889997101 13.0128949999045),77.5613889997101,13.0128949999045
163,Horamavu,25,Hoysala nagar in Hormavu,163,Mahadevapura,POINT (77.6655560003485 13.0186110004055),77.6655560003485,13.0186110004055
164,Kacharakanahalli,29,HRBR Lyt,164,East,POINT (77.6347219997556 13.0188889999146),77.6347219997556,13.0188889999146
165,Ganganagar,20,Jala Dharshani Layout of Hebbal,165,East,POINT (77.5824999999099 13.0247220002418),77.5824999999099,13.0247220002418
166,Ganganagar,20,Vasanthappa block  Hebbal,166,East,POINT (77.5846359999877 13.0297769996971),77.5846359999877,13.0297769996971
167,HMT,38,Peenya industrial  area 3rd phase 1st  main road,167,RR Nagar,POINT (77.5201420002763 13.0330969996944),77.5201420002763,13.0330969996944
168,Dodda Bidarakallu,40,Bhavani nagara Doddabidarakallu,168,RR Nagar,POINT (77.4905820000948 13.033173000101),77.4905820000948,13.033173000101
169,Hebbala,21,A Block of  Hebbal,169,East,POINT (77.5902780004546 13.0333329999155),77.5902780004546,13.0333329999155
170,Hebbala,21,Low Laying areas of Chamundi nagar of Hebbal,170,East,POINT (77.6002779999901 13.0333329997996),77.6002779999901,13.0333329997996
171,Hebbala,21,Sun Rise colony of Hebbal,171,East,POINT (77.5972219997212 13.0355560000782),77.5972219997212,13.0355560000782
172,Rammurthynagar,26,Richi's Garden,172,Mahadevapura,POINT (77.6811109998455 13.0366669997307),77.6811109998455,13.0366669997307
173,Dodda Bidarakallu,40,Andanappa layout Doddabidarakallu,173,RR Nagar,POINT (77.4871170004473 13.0366980002346),77.4871170004473,13.0366980002346
174,J P Park,17,Near bescom office Mattikere,174,West,POINT (77.55670599993 13.0367360000285),77.55670599993,13.0367360000285
175,HBR Layout,24,HBR Layout,175,East,POINT (77.6380559998534 13.0391669999123),77.6380559998534,13.0391669999123
176,HMT,38,Near Jalahalli Metro station,176,RR Nagar,POINT (77.5199260002574 13.0397289999055),77.5199260002574,13.0397289999055
177,Nagavara,23,Veerannapalya,177,East,POINT (77.61222199988 13.0411110003888),77.61222199988,13.0411110003888
178,,40,Shambhavinagar,178,Dasarahalli,POINT (77.4780799999728 13.0413700000185),77.4780799999728,13.0413700000185
179,Thanisandra,6,Veerannapalya drain near Manpho convention center,179,Yelahanka,POINT (77.6155559996975 13.0424999996035),77.6155559996975,13.0424999996035
180,Byatarayanapura,7,Near Shani mahathma temple beside Hebbal Flyover,180,East,POINT (77.5913889998385 13.0425000003776),77.5913889998385,13.0425000003776
181,Horamavu,25,Vaddera Palya (Railway track),181,Mahadevapura,POINT (77.6447219998583 13.0427780001412),77.6447219998583,13.0427780001412
182,Byatarayanapura,7,"Kariyannapalya outer ring road, near Varun motors",182,Yelahanka,POINT (77.5988889997057 13.0430560002637),77.5988889997057,13.0430560002637
183,HBR Layout,24,Nanda gokula,183,East,POINT (77.6280559999516 13.0436110002171),77.6280559999516,13.0436110002171
184,Byatarayanapura,7,Kariyannapalya Bridge over flowed ORR,184,Yelahanka,POINT (77.6002780002857 13.0436109999325),77.6002780002857,13.0436109999325
185,Radhakrishna Temple,18,Upstreams of Devinagar (junction of Ring road and railway track)  of Hebbal,185,East,POINT (77.5708330003102 13.0466670000846),77.5708330003102,13.0466670000846
186,Chokkasandra,39,Gundappa Layout & Belmar Layout,186,Dasarahalli,POINT (77.500740000131 13.0468099997455),77.500740000131,13.0468099997455
187,Thanisandra,6,"Manyata tech park, MS Ramaiah north city To element mall",187,Yelahanka,POINT (77.6236110002089 13.0472219998923),77.6236110002089,13.0472219998923
188,Byatarayanapura,7,From Esteem mall beside Dhobi Ghat to Yogesh nagar bridge,188,Yelahanka,POINT (77.5933330000545 13.0472220002583),77.5933330000545,13.0472220002583
189,Kodigehalli,8,TATA nagar 8th cross,189,Yelahanka,POINT (77.5716669996158 13.0550000002269),77.5716669996158,13.0550000002269
190,Thanisandra,6,Near Rachanahalli lake inlet,190,Yelahanka,POINT (77.6147219998168 13.0577779997751),77.6147219998168,13.0577779997751
191,Shettihalli,12,"Aaimatha layout, Mallasandra",191,Dasarahalli,POINT (77.5117799995436 13.0606799996662),77.5117799995436,13.0606799996662
192,Bagalakunte,14,MEI layout,192,Dasarahalli,POINT (77.5011599998644 13.0608700000336),77.5011599998644,13.0608700000336
193,Kuvempu Nagar,11,Kammagondanahalli near MNTI Polytechnic,193,Dasarahalli,POINT (77.5347100003529 13.0640699996863),77.5347100003529,13.0640699996863
194,Shettihalli,12,Shettihalli & Chikkasandra Village ,194,Dasarahalli,POINT (77.5117800000453 13.0663400000601),77.5117800000453,13.0663400000601
195,Bagalakunte,14,Siddeswara Layout,195,Dasarahalli,POINT (77.5006499998342 13.0672400001178),77.5006499998342,13.0672400001178
196,Bagalakunte,14,Shivapura tank,196,Dasarahalli,POINT (77.5006499998342 13.0672400001178),77.5006499998342,13.0672400001178
197,Vidyaranyapura,9,Thindlu  to Doddabommasandra tank,197,Yelahanka,POINT (77.5627780001287 13.0691669998851),77.5627780001287,13.0691669998851
198,Yelahanka Satellite Town,4,LBSnagar Yelahanka,198,Yelahanka,POINT (77.5936109999906 13.0925000001134),77.5936109999906,13.0925000001134
199,Kempegowda,1,Kogilu cross behind Udupi Grand hotel,199,Yelahanka,POINT (77.6011110002963 13.1030559999236),77.6011110002963,13.1030559999236
200,Kempegowda,1,Kondappa layout,200,Yelahanka,POINT (77.5933329998893 13.1102779998028),77.5933329998893,13.1102779998028
