code,mdy,utmx,utmy,depth_in_m,Info,color_hex,WKT,geometry,longitude,latitude
BS38,10/29/2007,782336.0,1433114.0,1.1,"openwell, house, near banergatta road, no pumping",#006837,MULTIPOINT ((77.6022580814271 12.9506325119875)),MULTIPOINT (77.6022580814271 12.9506325119875),77.6022580814271,12.9506325119875
BS39,10/29/2007,781298.0,1433719.0,1.7,"openwell, temple, near KH road, no pumping",#006837,MULTIPOINT ((77.5927544288364 12.9561930745018)),MULTIPOINT (77.5927544288364 12.9561930745018),77.5927544288364,12.9561930745018
BS40,10/29/2007,781876.0,1433273.0,1.35,"openwell, temple, near KSRTC depot(KH road cross) no pumping",#006837,MULTIPOINT ((77.5980362798609 12.9521111137505)),MULTIPOINT (77.5980362798609 12.9521111137505),77.5980362798609,12.9521111137505
BS41,10/29/2007,782103.0,1433180.0,1.1,"openwell, house, Jalakanteshwara nagara, no pumping",#006837,MULTIPOINT ((77.6001182921489 12.9512501454098)),MULTIPOINT (77.6001182921489 12.9512501454098),77.6001182921489,12.9512501454098
BS42,10/29/2007,782233.0,1433317.0,1.25,"openwell, house, jalakanteshwara nagara, 1000 lpd",#006837,MULTIPOINT ((77.6013284702047 12.952475762745)),MULTIPOINT (77.6013284702047 12.952475762745),77.6013284702047,12.952475762745
BS43,10/29/2007,782133.0,1433356.0,0.9,"openwell, house, jalakanteshwara nagara, no pumping",#006837,MULTIPOINT ((77.6004111001864 12.952837262217)),MULTIPOINT (77.6004111001864 12.952837262217),77.6004111001864,12.952837262217
BS44,10/29/2007,780936.0,1434083.0,1.8,"openwell, house, lalbag road, no pumping",#006837,MULTIPOINT ((77.5894542360675 12.9595144322538)),MULTIPOINT (77.5894542360675 12.9595144322538),77.5894542360675,12.9595144322538
BS45,10/29/2007,780847.0,1434137.0,2.0,"openwell, temple, lalbag road cross, no pumping, 200m from stream",#006837,MULTIPOINT ((77.5886395346408 12.9600103921717)),MULTIPOINT (77.5886395346408 12.9600103921717),77.5886395346408,12.9600103921717
BS46,10/29/2007,780685.0,1434104.0,1.2,"openwell, lalbag road, prerana motors",#006837,MULTIPOINT ((77.5871443309113 12.9597271219193)),MULTIPOINT (77.5871443309113 12.9597271219193),77.5871443309113,12.9597271219193
BWB1,10/30/2007,777750.0,1436151.0,2.15,"Public borewell, behind, minerva mills, c cross, gopalpuram, fills 2 tanks",#006837,MULTIPOINT ((77.5603000316783 12.9784862918166)),MULTIPOINT (77.5603000316783 12.9784862918166),77.5603000316783,12.9784862918166
BWB2,10/30/2007,777780.0,1436136.0,1.94,"Public borewell, behind, minerva mills, gopalpuram, fills 1 tank",#006837,MULTIPOINT ((77.5605749894837 12.9783480653218)),MULTIPOINT (77.5605749894837 12.9783480653218),77.5605749894837,12.9783480653218
